"id","country","name","sex","president","start_president","end_president","ministry","undersec","start_undersec","end_undersec","party"
75,"Chile","Guillermo Pickering de la Fuen","man","Eduardo Frei",1994-03-11,2000-03-11,"Obras Públicas","Obras Públicas",1996-08-07,1999-01-21,"PDC"
76,"Chile","Juan Manuel Cruz Sánchez","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Pesca",1996-08-28,2000-03-11,"PDC"
77,"Chile","Óscar Landerretche Gacitúa","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Economía",1996-08-28,1998-11-30,"PS"
78,"Chile","José Andrés Wallis Garcés","man","Eduardo Frei",1994-03-11,2000-03-11,"Transportes y Telecomunicaciones","Transportes",1996-10-15,2000-03-11,"NP"
79,"Chile","Julio Valladares Muñoz","man","Eduardo Frei",1994-03-11,2000-03-11,"Trabajo y Previsión Social","Trabajo",1996-10-22,2000-03-11,"PDC"
80,"Chile","José Manuel Cortínez Castillo","man","Eduardo Frei",1994-03-11,2000-03-11,"Vivienda y Urbanismo","Vivienda",1996-11-18,1997-09-02,"NP"
81,"Chile","Sergio Galilea Ocón","man","Eduardo Frei",1994-03-11,2000-03-11,"Secretaría General de la Presidencia","SEGPRES",1996-11-18,1999-08-13,"PPD"
82,"Chile","Mario Fernández Baeza","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Guerra",1996-12-02,1999-04-09,"PDC"
83,"Chile","Jean Jacques Duhart Saurel","man","Eduardo Frei",1994-03-11,2000-03-11,"Agricultura","Agricultura",1996-12-23,2000-03-11,"PPD"
84,"Chile","Antonio Lara Bravo","man","Eduardo Frei",1994-03-11,2000-03-11,"Planificación","Planificación y Cooperación",1997-01-01,2000-03-11,"PDC"
85,"Chile","Natacha Molina García","woman","Eduardo Frei",1994-03-11,2000-03-11,"Servicio Nacional de la Mujer","SERNAM",1997-03-01,2000-03-11,"NP"
86,"Chile","Claudio Huepe García","man","Eduardo Frei",1994-03-11,2000-03-11,"Secretaría General de Gobierno","SEGEGOB",1997-07-01,2000-03-11,"PDC"
87,"Chile","César Díaz-Muñoz Cormatches","man","Eduardo Frei",1994-03-11,2000-03-11,"Minería","Minería",1997-08-18,2000-03-11,"NP"
88,"Chile","Juanita Gana Quiroz","woman","Eduardo Frei",1994-03-11,2000-03-11,"Transportes y Telecomunicaciones","Telecomunicaciones",1997-08-18,2000-03-11,"PPD"
89,"Chile","Berta Belmar Ruiz","woman","Eduardo Frei",1994-03-11,2000-03-11,"Vivienda y Urbanismo","Vivienda",1997-09-03,2000-03-11,"PPD"
90,"Chile","Álvaro Erazo Latorre","man","Eduardo Frei",1994-03-11,2000-03-11,"Salud","Salud",1998-07-14,2000-03-11,"PS"
91,"Chile","Juan Carlos Latorre Carmona","man","Eduardo Frei",1994-03-11,2000-03-11,"Obras Públicas","Obras Públicas",1999-01-21,2000-03-11,"PDC"
92,"Chile","Guillermo Pickering de la Fuen","man","Eduardo Frei",1994-03-11,2000-03-11,"Interior","Interior",1999-03-01,2000-03-09,"PDC"
93,"Chile","Carlos Mackenney Urzúa","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Guerra",1999-05-13,2000-03-11,"PDC"
94,"Chile","Luis Sánchez Castellón","man","Eduardo Frei",1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción","Economía",1999-05-31,2000-03-11,"PS"
95,"Chile","Renán Fuentealba Vildósola","man","Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional","Marina",1999-07-31,2000-03-11,"PDC"
96,"Chile","Carlos Carmona Santander","man","Eduardo Frei",1994-03-11,2000-03-11,"Secretaría General de la Presidencia","SEGPRES",1999-08-13,2000-03-11,"PDC"
97,"Chile","María Paulina Saball Astaburua","woman","Eduardo Frei",1994-03-11,2000-03-11,"Bienes Nacionales","Bienes Nacionales",1999-08-13,2000-03-11,"PPD"
98,"Chile","Álvaro Clarke de la Cerda","man","Eduardo Frei",1994-03-11,2000-03-11,"Hacienda","Hacienda",1999-12-03,2000-03-11,"PDC"
99,"Chile","Consuelo Gazmuri Riveros","woman","Eduardo Frei",1994-03-11,2000-03-11,"Justicia","Justicia",1999-12-16,2000-03-11,"NP"
100,"Chile","Jorge Burgos Varela","man","Ricardo Lagos",2000-03-11,2006-03-11,"Interior","Interior",2000-03-09,2001-07-03,"PDC"
101,"Chile","Álvaro Díaz Pérez","man","Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción","Economía",2000-03-11,2004-07-01,"PS"
102,"Chile","Ángel Flisfisch Fernández","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Marina",2000-03-11,2002-03-13,"PPD"
103,"Chile","Arturo Barrera Miranda","man","Ricardo Lagos",2000-03-11,2006-03-11,"Agricultura","Agricultura",2000-03-11,2006-03-11,"PDC"
104,"Chile","Carolina Tohá Morales","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","SEGEGOB",2000-03-11,2001-06-01,"PPD"
105,"Chile","Christian Nicolai Orellana","man","Ricardo Lagos",2000-03-11,2006-03-11,"Transportes y Telecomunicaciones","Telecomunicaciones",2000-03-11,2006-03-11,"PDC"
106,"Chile","Daniel Albarrán Ruiz-Clavijo","man","Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción","Pesca",2000-03-11,2001-08-29,"NP"
107,"Chile","Eduardo Dockendorff Vallejos","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de la Presidencia","SEGPRES",2000-03-11,2002-01-14,"PDC"
108,"Chile","Ernesto Behnke Gutiérrez","man","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Salud",2000-03-11,2002-01-14,"PDC"
109,"Chile","Francisco Vidal Salinas","man","Ricardo Lagos",2000-03-11,2006-03-11,"Interior","SUBDERE",2000-03-11,2003-03-03,"PPD"
110,"Chile","Gabriel Gaspar Tapia","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Guerra",2000-03-11,2006-03-11,"PS"
111,"Chile","Gonzalo Miranda Aguirre","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Investigaciones",2000-03-11,2005-04-25,"NP"
112,"Chile","Heraldo Muñoz Valenzuela","man","Ricardo Lagos",2000-03-11,2006-03-11,"Relaciones Exteriores","Relaciones Exteriores",2000-03-11,2002-01-07,"PPD"
113,"Chile","Jacqueline Saintard Vera","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Minería","Minería",2000-03-11,2002-07-01,"PDC"
114,"Chile","Jaime Arellano Quintana","man","Ricardo Lagos",2000-03-11,2006-03-11,"Justicia","Justicia",2000-03-11,2006-03-11,"PDC"
115,"Chile","José Weinstein Cayuela","man","Ricardo Lagos",2000-03-11,2006-03-11,"Educación","Educación",2000-03-11,2003-03-12,"PPD"
116,"Chile","Juan Carlos Latorre Carmona","man","Ricardo Lagos",2000-03-11,2006-03-11,"Obras Públicas","Obras Públicas",2000-03-11,2003-06-30,"PDC"
117,"Chile","Kareen Herrera Esparza","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Servicio Nacional de la Mujer","SERNAM",2000-03-11,2002-06-27,"PDC"
118,"Chile","María Eugenia Wagner Brizzi","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Hacienda","Hacienda",2000-03-11,2006-03-11,"PDC"
119,"Chile","María Paulina Saball Astaburua","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Bienes Nacionales","Bienes Nacionales",2000-03-11,2004-02-25,"PPD"
120,"Chile","Marigen Hornkohl Venegas","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Previsión Social",2000-03-11,2003-03-13,"PDC"
121,"Chile","Nelson Hadad Heresy","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Aviación",2000-03-11,2002-09-25,"PDC"
122,"Chile","Patricio Morales Aguirre","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Carabineros",2000-03-11,2002-03-13,"PRSD"
123,"Chile","Patricio Tombolini Véliz","man","Ricardo Lagos",2000-03-11,2006-03-11,"Transportes y Telecomunicaciones","Transportes",2000-03-11,2002-07-01,"PRSD"
124,"Chile","Sonia Tschorne Berestesky","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Vivienda y Urbanismo","Vivienda",2000-03-11,2004-10-01,"PS"
125,"Chile","Víctor Vega Fernández","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2000-03-11,2001-08-27,"PS"
126,"Chile","Yerko Ljubetic Godoy","man","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Trabajo",2000-03-11,2005-04-25,"PDC"
127,"Chile","Arturo Salah Cassani","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","Deportes",2001-03-01,2003-03-06,"NP"
128,"Chile","María Eliana Arntz Bustos","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","SEGEGOB",2001-06-01,2003-03-06,"PS"
129,"Chile","Jorge Correa Sutil","man","Ricardo Lagos",2000-03-11,2006-03-11,"Interior","Interior",2001-07-03,2006-01-28,"PDC"
130,"Chile","Jaime Andrade Guenchocoy","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2001-08-27,2003-08-18,"PS"
131,"Chile","Felipe Sandoval Precht","man","Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción","Pesca",2001-08-29,2006-03-11,"PDC"
132,"Chile","Gonzalo Martner Fanta","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de la Presidencia","SEGPRES",2002-01-14,2003-02-26,"PS"
133,"Chile","Gonzalo Navarrete Muñoz","man","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Salud",2002-01-14,2002-10-31,"PPD"
134,"Chile","Cristián Barros Melet","man","Ricardo Lagos",2000-03-11,2006-03-11,"Relaciones Exteriores","Relaciones Exteriores",2002-01-15,2006-03-11,"PPD"
135,"Chile","Felipe Harboe Bascuñán","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Carabineros",2002-03-13,2006-01-30,"PPD"
136,"Chile","Patricio Morales Aguirre","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Marina",2002-03-13,2002-09-25,"PRSD"
137,"Chile","Lissette García Bustamante","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Servicio Nacional de la Mujer","SERNAM",2002-06-27,2004-07-15,"PDC"
138,"Chile","Guillermo Díaz Silva","man","Ricardo Lagos",2000-03-11,2006-03-11,"Transportes y Telecomunicaciones","Transportes",2002-07-01,2006-03-11,"PDC"
139,"Chile","Isidro Solís Palma","man","Ricardo Lagos",2000-03-11,2006-03-11,"Minería","Minería",2002-07-01,2002-09-25,"PRSD"
140,"Chile","Francisco Huenchumilla Jaramil","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Marina",2002-09-25,2003-03-03,"PDC"
141,"Chile","Isidro Solís Palma","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Aviación",2002-09-25,2004-10-01,"PRSD"
142,"Chile","Patricio Morales Aguirre","man","Ricardo Lagos",2000-03-11,2006-03-11,"Minería","Minería",2002-09-25,2004-10-01,"PRSD"
143,"Chile","Antonio Infante Barros","man","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Salud",2002-10-31,2005-03-09,"PPD"
144,"Chile","Adriana Delpiano Puelma","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Interior","SUBDERE",2003-03-03,2006-03-11,"PPD"
145,"Chile","Patricio Santamaría Mutis","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","SEGEGOB",2003-03-06,2005-08-25,"PDC"
146,"Chile","Carlos Mackenney Urzúa","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Marina",2003-03-07,2005-10-05,"PDC"
147,"Chile","Rodrigo Egaña Baraona","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de la Presidencia","SEGPRES",2003-03-10,2006-03-11,"PS"
148,"Chile","Macarena Carvallo Silva","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Previsión Social",2003-03-13,2005-02-01,"PRSD"
149,"Chile","Marigen Hornkohl Venegas","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Educación","Educación",2003-03-13,2005-04-20,"PDC"
150,"Chile","Ernesto Velasco Rodríguez","man","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","Deportes",2003-03-17,2005-01-27,"PRSD"
151,"Chile","Clemente Pérez Errázuriz","man","Ricardo Lagos",2000-03-11,2006-03-11,"Obras Públicas","Obras Públicas",2003-07-03,2005-04-25,"PDC"
152,"Chile","Patricio Vilaplana","man","Ricardo Lagos",2000-03-11,2006-03-11,"Consejo Nacional de la Cultura y las Artes","Cultura",2003-08-06,2006-03-11,"PDC"
153,"Chile","Marcelo Carvallo Ceroni","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2003-08-18,2004-10-07,"PS"
154,"Chile","Jacqueline Weinstein Levy","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Bienes Nacionales","Bienes Nacionales",2004-02-25,2006-03-11,"PPD"
155,"Chile","Carlos Álvarez Voullieme","man","Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción","Economía",2004-07-01,2006-03-11,"PS"
156,"Chile","Myriam Verdugo Godoy","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Servicio Nacional de la Mujer","SERNAM",2004-09-29,2006-03-11,"PDC"
157,"Chile","Carlos Parra Merino","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Aviación",2004-10-01,2006-03-11,"PRSD"
158,"Chile","Mario Cabezas Thomas","man","Ricardo Lagos",2000-03-11,2006-03-11,"Minería","Minería",2004-10-01,2006-03-11,"PRSD"
159,"Chile","Teresa Rey Carrasco","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Vivienda y Urbanismo","Vivienda",2004-10-07,2006-03-11,"PDC"
160,"Chile","Jaime Andrade Guenchocoy","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2004-10-15,2006-03-11,"PS"
161,"Chile","Osvaldo Salgado Zepeda","man","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Redes Asistenciales",2005-01-01,2006-03-11,"PS"
162,"Chile","Macarena Carvallo Silva","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Secretaría General de Gobierno","Deportes",2005-02-01,2006-03-11,"PRSD"
163,"Chile","Marisol Aravena Puelma","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Previsión Social",2005-02-01,2006-03-11,"PRSD"
164,"Chile","Cecilia Villavicencio Rosas","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Salud Pública",2005-03-14,2006-03-11,"PPD"
165,"Chile","Pedro Montt Leiva","man","Ricardo Lagos",2000-03-11,2006-03-11,"Educación","Educación",2005-04-20,2006-03-11,"PDC"
166,"Chile","Cristóbal Pascal Cheetham","man","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Trabajo",2005-04-25,2006-03-11,"PS"
